SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
HR57138,Chautaugua Maid Quality Grape Juice,1.5,3,0,0,0,0,3,9/15/2018,9/15/2018,11/20/2013,0.25,BEVERAGES,MISC,NONE,
HR57140,Dixie Spring Water,1.5,3,0,0,0,0,0,4/3/2019,4/3/2019,7/21/2012,0.25,BEVERAGES,MISC,NONE,
HR57178,Heavy Duty Extension Cord,1.5,3,0,0,0,0,12,4/1/2019,4/1/2019,4/6/2016,-0.25,BEVERAGES,,,
HR59801,Farm Coloring Book,2,4,0,0,0,0,3,9/15/2018,9/15/2018,10/30/2014,0,BEVERAGES,,,
HR59801C,Farm Coloring Book with Crayons,3,6,0,0,0,0,5,4/8/2019,4/8/2019,10/30/2014,0,BEVERAGES,,,
HR59802,Rainbow Coloring Book,2,4,0,0,0,0,3,5/31/2018,5/31/2018,10/30/2014,0,BEVERAGES,,,
HR59802C,Rainbow Coloring Book with Crayons,3,6,0,0,0,0,5,12/17/2018,12/17/2018,10/30/2014,0,BEVERAGES,,,
HR60001,Glass Of Milk,1.25,2.5,0,0,0,0,5,9/1/2018,9/1/2018,12/23/2009,0,BEVERAGES,MISC,NONE,
HR60002,Cup Of Tea,1.5,3,0,0,0,0,6,2/28/2019,2/28/2019,5/22/2012,0.25,BEVERAGES,MISC,NONE,
HR60003,Cup Of Coffee,1.5,3,0,0,0,0,18,3/29/2019,3/29/2019,1/31/2012,0.25,BEVERAGES,MISC,NONE,
HR60004,Glass Of Red Wine,2.25,4.5,0,0,0,0,6,2/7/2019,2/7/2019,12/23/2009,0,BEVERAGES,ALCOHOL,NONE,
HR60005,Glass Of White Wine,2.25,4.5,0,0,0,0,6,2/7/2019,2/7/2019,12/23/2009,0.5,BEVERAGES,ALCOHOL,NONE,
HR60006,Glass Of Champagne (Fluted),2.25,4.5,0,0,0,0,3,4/3/2019,4/3/2019,12/23/2009,0,BEVERAGES,ALCOHOL,NONE,
HR60007,Pilsner Of Beer,2.25,4.5,0,,,,0,2/13/2014,5/22/2014,12/23/2009,0.5,BEVERAGES,ALCOHOL,NONE,
HR60008,Red Wine Bottle with 2 Filled Glasses On Tray,8,16,0,0,0,0,8,4/12/2019,4/12/2019,12/23/2009,0,BEVERAGES,ALCOHOL,NONE,
HR60009,White Wine Bottle with 2 Filled Glasses On Tray,8,16,0,0,0,0,6,3/29/2019,3/29/2019,12/23/2009,2,BEVERAGES,ALCOHOL,NONE,
HR60010,Champagne Bottle with 2 Filled Fluted Glasses,8,16,0,0,0,0,3,3/13/2019,3/13/2019,12/23/2009,2,BEVERAGES,ALCOHOL,NONE,
HR60011,Champagne Bottle In Ice Bucket W/2 Filled Glasses,9,18,0,0,0,0,0,3/18/2019,3/18/2019,12/23/2009,0,BEVERAGES,ALCOHOL,NONE,
HR60012,Cup Of Cocoa,1.5,3,0,0,0,0,8,1/8/2019,1/8/2019,12/16/2011,0.25,BEVERAGES,MISC,NONE,
HR60013,Bottle Of Beer On Tray with 2 Filled Pilsners,8,16,0,0,0,0,2,9/6/2017,9/6/2017,12/23/2009,0,BEVERAGES,ALCOHOL,NONE,
HR60017,Water Glass,1.25,2.5,0,0,0,0,1,12/9/2016,12/9/2016,10/30/2014,0,BEVERAGES,,,
IM65010,Beer Cans 3/Pk,0.75,1.49,0,0,0,0,247,4/12/2019,4/12/2019,12/10/2011,0.01,BEVERAGES,ALCOHOL,NONE,7.32E+11
IM65025,Pop Bottles Set/2,0.65,1.29,0,0,0,0,135,4/12/2019,4/12/2019,12/10/2011,0.02,BEVERAGES,SODA,NONE,7.32E+11
IM65050,"Wine Bottles Set, 6/Pk",0.95,1.89,0,0,0,0,250,9/19/2018,9/19/2018,3/2/2011,0.05,BEVERAGES,ALCOHOL,NONE,7.32E+11
IM65107,Wine Bottles 2/Pk,0.5,0.99,0,0,0,0,250,3/28/2017,3/28/2017,12/10/2011,0.03,BEVERAGES,ALCOHOL,NONE,7.32E+11
IM65123,".Soda Bottles, 6/Pk",0.75,1.49,0,0,0,0,250,2/13/2019,9/19/2018,9/11/2018,-0.1,BEVERAGES,SODA,NONE,7.32E+11
IM65327,"Wine Bottles Set, 6/Pk",1,1.99,0,0,0,0,64,4/22/2019,4/22/2019,4/20/2013,0.05,BEVERAGES,ALCOHOL,NONE,7.32E+11
IM65356,"Beer Cans, 6Pk",1.15,2.29,0,0,0,0,250,4/3/2019,4/3/2019,6/16/2016,-0.15,BEVERAGES,ALCOHOL,NONE,7.32E+11
IM65468,Cola Cans 6/Pc,1.15,2.29,0,0,0,0,250,4/11/2019,4/3/2019,4/11/2019,0.15,BEVERAGES,SODA,NONE,7.32E+11
IM65507,"Cola Bottles, 6pc",1.05,2.09,0,0,0,0,114,4/2/2019,4/2/2019,12/10/2011,0.05,BEVERAGES,SODA,NONE,7.32E+11
IM65512,"Pop Cans, Assorted, 6Pk",1.5,2.99,0,0,0,0,250,4/3/2019,4/3/2019,7/26/2018,-0.5,BEVERAGES,SODA,NONE,7.32E+11
MUL1264,Glass Of Milk,1.35,2.7,0,0,0,0,44,2/11/2019,2/11/2019,8/25/2018,-0.1,BEVERAGES,MISC,NONE,7.50E+11
MUL1265,Pitcher Of Milk,2.75,5.5,0,0,0,0,10,1/11/2019,1/11/2019,11/7/2014,0,BEVERAGES,MISC,NONE,7.50E+11
MUL1942B,Glass Of Kool Aid**Assorted,2,4,0,0,0,0,16,5/2/2019,5/2/2019,10/27/2015,0,BEVERAGES,MISC,NONE,7.50E+11
MUL3390,.Limeade Dispenser,3,6,0,0,0,0,15,3/28/2019,3/28/2019,3/26/2015,0,BEVERAGES,MISC,NONE,7.50E+11
MUL4134,Glass Of Lemonade,1.35,2.7,0,0,0,0,10,1/11/2019,1/11/2019,8/25/2018,0.45,BEVERAGES,MISC,NONE,7.50E+11
MUL4229,.Glasses In Case,2.5,5,0,0,0,0,11,10/16/2018,6/26/2018,4/29/2015,0,BEVERAGES,SODA,NONE,7.50E+11
MUL4464,Mug Of Coffee,1.5,3,0,0,0,0,1,3/25/2019,3/25/2019,6/11/2014,0.25,BEVERAGES,MISC,NONE,7.50E+11
MUL4562,Pitcher Of Beer,1.75,3.5,0,0,0,0,0,4/11/2018,4/11/2018,5/7/2014,0.25,BEVERAGES,ALCOHOL,NONE,7.50E+11
MUL4570,Pitcher Of Iced Tea,1.75,3.5,0,0,0,0,0,1/25/2019,1/25/2019,5/7/2014,0.25,BEVERAGES,MISC,NONE,7.50E+11
MUL4571,Glass Of Iced Tea,1.25,2.5,0,0,0,0,27,4/3/2019,4/3/2019,12/23/2014,0,BEVERAGES,MISC,NONE,7.50E+11
MUL4835B,Glass Of Orange Juice,1.8,3.6,0,0,0,0,8,7/17/2018,7/17/2018,8/12/2016,0,BEVERAGES,MISC,NONE,7.50E+11
RND125,Hot Chocolate,2.5,5,0,0,0,0,2,7/17/2018,7/17/2018,3/29/2011,0,BEVERAGES,MISC,NONE,
