SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
IM65291,Cigar Box,3,5.99,0,0,0,0,250,11/23/2016,4/17/2015,4/17/2015,-2.3,ACCESSORIES,MISC,NONE,7.32E+11
IM65293,Spice Rack,1.3,2.59,0,0,0,0,147,4/1/2019,4/1/2019,1/31/2017,-0.3,ACCESSORIES,KITCHEN,NONE,7.32E+11
IM65295,Square Laundry Basket,2,4,0,0,0,0,250,3/28/2017,3/28/2017,9/13/2016,0,ACCESSORIES,,,7.32E+11
IM65296,Memo Board,1,1.99,0,0,0,0,250,4/11/2019,4/3/2019,4/11/2019,0.2,ACCESSORIES,MISC,NONE,7.32E+11
IM65297,Sewing Basket,1.6,3.19,0,0,0,0,169,4/30/2019,4/30/2019,2/2/2017,-0.1,ACCESSORIES,SEWING ROOM,NONE,7.32E+11
IM65298,"Ladies Hat with Feather, White",1.6,3.19,0,0,0,0,250,4/3/2019,4/3/2019,4/3/2015,-1.6,ACCESSORIES,,,7.32E+11
IM65300,"Blue Enamelware Dishes, 12/Pc",1.9,3.79,0,0,0,0,250,11/23/2016,9/19/2013,12/18/2013,-0.01,ACCESSORIES,PLACE SETTINGS,NONE,7.32E+11
IM65302,"Blue Canister Set with Decals, 4pc",2.15,4.29,0,0,0,0,209,4/15/2019,4/15/2019,7/18/2018,-0.15,ACCESSORIES,,,7.32E+11
IM65303,Cash Register,2.2,4.39,0,0,0,0,250,11/23/2016,10/21/2015,11/27/2013,0.05,ACCESSORIES,GENERAL STORE,NONE,7.32E+11
IM65304,Holy Bible,0.7,1.39,0,0,0,0,70,5/2/2019,5/2/2019,12/10/2011,0.02,ACCESSORIES,BOOKS & MAGAZINES,NONE,7.32E+11
IM65305,"Red Enamelware Dishes, 8Pc",1.05,2.09,0,0,0,0,250,11/23/2016,3/10/2010,12/10/2011,-0.01,ACCESSORIES,PLACE SETTINGS,NONE,7.32E+11
IM65306,"Yellow Canister Set with Decals, 4pc",2.15,4.29,0,0,0,0,250,7/18/2018,7/18/2018,2/2/2017,-0.15,ACCESSORIES,,,7.32E+11
